DataHora;Satelite;Pais;Estado;Municipio;Bioma;DiaSemChuva;Precipitacao;RiscoFogo;Latitude;Longitude;FRP
01/04/2025 16:54;AQUA_M-T;Brasil;MINAS GERAIS;SÃO JOÃO DO PARAÍSO;Mata Atlântica;5;0.0;0.83;-1.550.979;-4.189.958;39.2
01/04/2025 16:54;AQUA_M-T;Brasil;MINAS GERAIS;SÃO JOÃO DO PARAÍSO;Mata Atlântica;5;0.0;0.47;-1.550.443;-4.193.121;263.3
01/04/2025 16:54;AQUA_M-T;Brasil;BAHIA;SERRINHA;Caatinga;9;0.1;1.0;-1.157.364;-3.888.553;13.9
01/04/2025 16:54;AQUA_M-T;Brasil;MINAS GERAIS;SÃO JOÃO DO PARAÍSO;Mata Atlântica;5;0.0;0.44;-1.551.357;-4.193.456;223.0
01/04/2025 16:54;AQUA_M-T;Brasil;PERNAMBUCO;PESQUEIRA;Caatinga;20;0.0;1.0;-833.721;-3.680.745;20.6
01/04/2025 16:54;AQUA_M-T;Brasil;BAHIA;SERRINHA;Caatinga;9;0.1;1.0;-1.157.144;-3.886.834;16.4
01/04/2025 16:56;AQUA_M-T;Brasil;RIO GRANDE DO NORTE;APODI;Caatinga;2;3.3;0.17;-560.035;-378.683;15.0
01/04/2025 16:56;AQUA_M-T;Brasil;PARAÍBA;MULUNGU;Caatinga;0;0.83;1.0;-701.431;-3.539.121;9.1
01/04/2025 16:56;AQUA_M-T;Brasil;PARAÍBA;TACIMA;Caatinga;0;0.0;1.0;-648.259;-3.554.313;11.7
01/04/2025 16:56;AQUA_M-T;Brasil;RIO GRANDE DO NORTE;MAXARANGUAPE;Mata Atlântica;-999;2.3;0.22;-545.294;-3.537.148;19.3
01/04/2025 16:56;AQUA_M-T;Brasil;CEARÁ;BARRO;Caatinga;5;0.73;0.44;-701.371;-3.882.302;30.4
01/04/2025 16:56;AQUA_M-T;Brasil;RIO GRANDE DO NORTE;MAXARANGUAPE;Mata Atlântica;-999;2.23;0.22;-545.165;-3.536.251;17.4
01/04/2025 16:56;AQUA_M-T;Brasil;PERNAMBUCO;ARARIPINA;Caatinga;9;0.0;1.0;-784.683;-4.038.879;39.7
01/04/2025 16:56;AQUA_M-T;Brasil;CEARÁ;PARAMBU;Caatinga;4;0.0;0.34;-625.701;-4.062.747;10.5
01/04/2025 16:56;AQUA_M-T;Brasil;RIO GRANDE DO NORTE;SÃO RAFAEL;Caatinga;3;0.72;0.71;-586.831;-368.614;12.5
01/04/2025 18:28;AQUA_M-T;Brasil;SANTA CATARINA;VITOR MEIRELES;Mata Atlântica;0;0.0;0.01;-2.677.058;-4.983.498;9.1
01/04/2025 18:28;AQUA_M-T;Brasil;SANTA CATARINA;ITAIÓPOLIS;Mata Atlântica;2;0.1;0.0;-2.650.322;-4.990.166;24.0
01/04/2025 18:28;AQUA_M-T;Brasil;PARANÁ;CRUZ MACHADO;Mata Atlântica;2;0.1;0.0;-2.593.581;-5.101.198;9.4
01/04/2025 18:28;AQUA_M-T;Brasil;SANTA CATARINA;AGRONÔMICA;Mata Atlântica;3;0.06;0.03;-2.736.052;-4.968.735;10.6
01/04/2025 18:28;AQUA_M-T;Brasil;SANTA CATARINA;AGRONÔMICA;Mata Atlântica;3;0.1;0.02;-2.736.695;-4.969.141;12.5
01/04/2025 18:28;AQUA_M-T;Brasil;SANTA CATARINA;CAPÃO ALTO;Mata Atlântica;0;1.38;0.01;-2.817.792;-5.075.779;26.8
01/04/2025 18:30;AQUA_M-T;Brasil;SÃO PAULO;ICÉM;Cerrado;0;0.4;0.05;-2.030.181;-4.911.493;24.3
01/04/2025 18:32;AQUA_M-T;Brasil;MATO GROSSO;ARAGUAIANA;Cerrado;9;4.8;0.15;-1.449.901;-5.155.341;18.3
01/04/2025 18:32;AQUA_M-T;Brasil;MATO GROSSO;SÃO JOSÉ DO RIO CLARO;Amazônia;2;4.85;0.01;-1.321.627;-5.685.183;9.2
01/04/2025 18:32;AQUA_M-T;Brasil;GOIÁS;ACREÚNA;Cerrado;0;0.0;0.39;-1.733.951;-5.021.206;19.3
01/04/2025 18:32;AQUA_M-T;Brasil;MATO GROSSO;CAMPO NOVO DO PARECIS;Cerrado;0;2.2;0.01;-1.329.259;-5.767.934;7.6
01/04/2025 18:32;AQUA_M-T;Brasil;MATO GROSSO;SÃO JOSÉ DO RIO CLARO;Amazônia;2;5.94;0.0;-132.905;-5.678.693;7.8
01/04/2025 18:34;AQUA_M-T;Brasil;MATO GROSSO;BRASNORTE;Amazônia;0;3.78;0.02;-1.219.311;-5.799.124;4.8
01/04/2025 18:36;AQUA_M-T;Brasil;RORAIMA;CAROEBE;Amazônia;2;1.5;0.03;0.95237;-5.945.001;8.6
01/04/2025 18:36;AQUA_M-T;Brasil;RORAIMA;CARACARAÍ;Amazônia;0;0.0;0.16;125.228;-6.048.524;5.5
01/04/2025 18:36;AQUA_M-T;Brasil;RORAIMA;CANTÁ;Amazônia;14;1.23;1.0;211.756;-6.063.778;9.3
01/04/2025 18:36;AQUA_M-T;Brasil;RORAIMA;CARACARAÍ;Amazônia;0;0.0;0.16;1.251;-6.049.398;21.9
01/04/2025 18:36;AQUA_M-T;Brasil;RORAIMA;RORAINÓPOLIS;Amazônia;2;3.41;0.02;0.19979;-6.061.105;6.4
